ClientID,Location,Grade,Variety,Intention Tonnage,Delivered,Balance,,Marketing Pool
388,,FEED WHEAT,,0.00,30.38,-30.38,,
144,A & M Turney,WARBURTONS,Crusoe,150.00,148.06,1.94,,SS Long Pool
7,Membury Store,OILSEED RAPE,Mxd OSR,150.00,121.48,28.52,,SS Long Pool
4,Membury Store,GROUP 1 WINTER,Crusoe,475.00,292.80,182.20,,SS Long Pool
4,Membury Store,GROUP 3 SOFT,Basset,750.00,749.38,0.62,,SS Long Pool
4,Membury Store,OILSEED RAPE,Spring,100.00,258.14,-158.14,,SS Long Pool
4,Shrewton Store,OATS WINTER,Mascani,110.00,113.20,-3.20,,SS Long Pool
4,Shrewton Store,OATS SPRING,Yukon,215.00,197.18,17.82,,SS Long Pool
308,Membury Store,MALTING BARLEY SP,Propino,210.00,141.78,68.22,,SS Direct Pricing
308,Membury Store,GROUP 4 HARD,Costello,252.00,148.92,103.08,,SS Direct Pricing
14,,MALTING BARLEY SP,Propino,90.00,0.00,90.00,,SS Long Pool
11,A & M Turney,WARBURTONS,Crusoe,320.00,242.34,77.66,,SS Long Pool
11,Micheldever Store,OATS WINTER,Mascani,150.00,125.20,24.80,,SS Long Pool
240,Membury Store,GROUP 4 SOFT,Revelation,320.00,355.52,-35.52,,CMG
240,Membury Store,OILSEED RAPE,Mxd OSR,150.00,0.00,150.00,,CMG
310,Membury Store,GROUP 1 WINTER,Crusoe,590.00,580.61,9.39,,Members Choice
64,Shrewton Store,MALTING BARLEY SP,Planet,230.00,0.00,230.00,,SS Direct Pricing
64,Membury Store,GROUP 1 WINTER,Crusoe,400.00,650.40,-250.40,,SS Long Pool
64,Membury Store,GROUP 1 WINTER,Crusoe,230.00,0.00,230.00,,SS Direct Pricing
64,,FEED WHEAT,,0.00,27.26,-27.26,,
153,Membury Store,OILSEED RAPE,Mxd OSR,"7,900.00","7,450.97",449.03,,Members Choice
16,Membury Store,OILSEED RAPE,Mxd OSR,"7,250.00","7,409.16",-159.16,,Members Choice
13,Membury Store,OILSEED RAPE,Mxd OSR,135.00,386.18,-251.18,,Members Choice
453,Micheldever Store,GROUP 2 WINTER,Siskin,110.00,105.14,4.86,,SS Long Pool
431,Micheldever Store,GROUP 4 HARD,Graham,300.00,264.64,35.36,,SS Long Pool
431,Micheldever Store,MALTING BARLEY SP,Propino,170.00,132.08,37.92,,SS Long Pool
490,Micheldever Store,GROUP 1 WINTER,Skyfall,500.00,500.90,-0.90,,SS Long Pool
490,Micheldever Store,OATS WINTER,Mascani,150.00,0.00,150.00,,SS Long Pool
490,Micheldever Store,OATS WINTER,Mascani,0.00,606.90,-606.90,,SS Long Pool
496,Micheldever Store,GROUP 1 WINTER,Gallant,90.00,88.36,1.64,,SS Long Pool
496,Micheldever Store,FEED BARLEY,Cassia,170.00,115.46,54.54,,SS Long Pool
496,Micheldever Store,OILSEED RAPE,Mxd OSR,25.00,20.42,4.58,,SS Long Pool
496,,FEED WHEAT,,0.00,9.76,-9.76,,
510,Micheldever Store,GROUP 1 WINTER,Crusoe,230.00,217.18,12.82,,SS Long Pool
510,Micheldever Store,BEANS SPRING,Fury,97.00,93.86,3.14,,SS Long Pool
510,Micheldever Store,BEANS WINTER,Wizard,13.00,0.00,13.00,,SS Long Pool
400,Micheldever Store,GROUP 4 HARD,Costello,130.00,116.52,13.48,,SS Long Pool
400,Micheldever Store,FEED BARLEY,Orwell,200.00,232.46,-32.46,,SS Long Pool
400,Micheldever Store,OILSEED RAPE,Mxd OSR,70.00,29.38,40.62,,SS Long Pool
400,Micheldever Store,BEANS SPRING,Fury,100.00,31.04,68.96,,SS Long Pool
400,,OILSEED RAPE,,0.00,21.94,-21.94,,
416,Micheldever Store,GROUP 1 WINTER,Crusoe,200.00,195.26,4.74,,SS Long Pool
416,Micheldever Store,GROUP 2 WINTER,Siskin,228.00,203.64,24.36,,SS Long Pool
416,Micheldever Store,MALTING BARLEY SP,Propino,65.00,48.38,16.62,,SS Long Pool
416,Micheldever Store,BEANS WINTER,Tundra,45.00,17.72,27.28,,SS Long Pool
416,Micheldever Store,OILSEED RAPE,Spring,30.00,9.60,20.40,,SS Long Pool
416,Micheldever Store,OATS SPRING,Canyon,100.00,81.74,18.26,,SS Long Pool
416,Micheldever Store,FEED BARLEY,Bazooka,30.00,268.18,-238.18,,SS Long Pool
416,,FEED WHEAT,,0.00,23.74,-23.74,,
507,Micheldever Store,GROUP 4 HARD,Graham,560.00,596.76,-36.76,,SS Long Pool
507,Micheldever Store,MALTING BARLEY SP,Planet,560.00,220.42,339.58,,SS Long Pool
507,Micheldever Store,MALTING BARLEY SP,Propino,240.00,204.34,35.66,,SS Long Pool
507,Micheldever Store,BEANS WINTER,Tundra,200.00,138.22,61.78,,SS Long Pool
417,Micheldever Store,GROUP 4 SOFT,Sundance,0.00,0.00,0.00,,SS Long Pool
417,Micheldever Store,MALTING BARLEY SP,Propino,200.00,161.02,38.98,,SS Long Pool
475,Micheldever Store,MALTING BARLEY SP,Propino,60.00,205.80,-145.80,,SS Long Pool
475,,MALTING BARLEY SP,,0.00,28.76,-28.76,,
468,Micheldever Store,GROUP 1 WINTER,Zyatt,100.00,87.90,12.10,,SS Long Pool
468,Micheldever Store,GROUP 1 WINTER,Trinity,415.00,431.70,-16.70,,SS Long Pool
468,Micheldever Store,BEANS SPRING,Fanfare,29.00,15.26,13.74,,SS Long Pool
479,Micheldever Store,GROUP 1 WINTER,Zyatt,600.00,615.10,-15.10,,SS Long Pool
479,Micheldever Store,MALTING BARLEY SP,Propino,500.00,411.80,88.20,,SS Long Pool
403,Micheldever Store,GROUP 1 WINTER,Crusoe,350.00,349.78,0.22,,SS Long Pool
403,Micheldever Store,Linseed,Mxd Linseed,155.00,177.22,-22.22,,SS Long Pool
494,Micheldever Store,MALTING BARLEY SP,Propino,350.00,207.78,142.22,,SS Long Pool
429,Micheldever Store,GROUP 1 WINTER,Skyfall,120.00,77.86,42.14,,SS Long Pool
429,Micheldever Store,OATS WINTER,Mascani,30.00,21.32,8.68,,SS Long Pool
429,Micheldever Store,OILSEED RAPE,Mxd OSR,60.00,70.82,-10.82,,SS Long Pool
481,Micheldever Store,MALTING BARLEY SP,Planet,70.00,54.08,15.92,,SS Long Pool
481,Micheldever Store,BEANS SPRING,Fuego,50.00,31.74,18.26,,SS Long Pool
462,Micheldever Store,GROUP 1 WINTER,Skyfall,350.00,345.86,4.14,,SS Long Pool
462,Micheldever Store,OILSEED RAPE,Mxd OSR,350.00,346.42,3.58,,SS Long Pool
472,Micheldever Store,GROUP 1 WINTER,Skyfall,400.00,257.78,142.22,,SS Long Pool
472,Micheldever Store,MALTING BARLEY SP,Propino,560.00,464.46,95.54,,SS Long Pool
472,Micheldever Store,OILSEED RAPE,Mxd OSR,40.00,53.46,-13.46,,SS Long Pool
472,,FEED BARLEY,,0.00,37.96,-37.96,,
471,Micheldever Store,GROUP 1 WINTER,Skyfall,75.00,83.96,-8.96,,SS Long Pool
471,Micheldever Store,FEED BARLEY,Tower,120.00,134.42,-14.42,,SS Long Pool
471,Micheldever Store,MALTING BARLEY SP,Planet,110.00,104.10,5.90,,SS Long Pool
471,Micheldever Store,MALTING BARLEY SP,Propino,100.00,61.68,38.32,,SS Long Pool
471,Micheldever Store,OATS WINTER,Mascani,50.00,50.54,-0.54,,SS Long Pool
466,Micheldever Store,GROUP 1 WINTER,Crusoe,195.00,202.16,-7.16,,SS Long Pool
466,Micheldever Store,BEANS SPRING,Fuego,65.00,33.84,31.16,,SS Long Pool
466,Micheldever Store,OATS SPRING,Canyon,65.00,31.97,33.03,,SS Long Pool
412,Micheldever Store,MALTING BARLEY SP,Planet,650.00,637.20,12.80,,SS Long Pool
412,Micheldever Store,MALTING BARLEY SP,Propino,60.00,136.90,-76.90,,SS Long Pool
440,Micheldever Store,GROUP 1 WINTER,Crusoe,220.00,232.74,-12.74,,SS Long Pool
440,Micheldever Store,MALTING BARLEY SP,Planet,290.00,354.02,-64.02,,SS Long Pool
440,Micheldever Store,OATS WINTER,Mascani,220.00,232.60,-12.60,,SS Long Pool
491,Micheldever Store,GROUP 4 HARD,Costello,250.00,332.94,-82.94,,SS Long Pool
433,Micheldever Store,FEED BARLEY,Bazooka,150.00,149.08,0.92,,SS Long Pool
433,Micheldever Store,MALTING BARLEY SP,Planet,150.00,147.54,2.46,,SS Long Pool
433,Micheldever Store,GROUP 3 SOFT,Basset,60.00,86.92,-26.92,,SS Long Pool
444,Micheldever Store,GROUP 2 WINTER,Siskin,360.00,287.76,72.24,,SS Long Pool
444,Micheldever Store,MALTING BARLEY SP,Propino,440.00,29.12,410.88,,SS Long Pool
404,Micheldever Store,MALTING BARLEY SP,Planet,145.00,162.44,-17.44,,SS Long Pool
404,Micheldever Store,OILSEED RAPE,Mxd OSR,232.00,217.30,14.70,,SS Long Pool
404,,FEED BARLEY,,0.00,16.98,-16.98,,
454,Micheldever Store,GROUP 1 WINTER,Crusoe,400.00,451.26,-51.26,,SS Long Pool
454,Micheldever Store,MALTING BARLEY SP,Planet,400.00,281.72,118.28,,SS Long Pool
454,Micheldever Store,BEANS WINTER,Tundra,100.00,0.00,100.00,,SS Long Pool
454,Micheldever Store,BEANS SPRING,Fuego,100.00,53.56,46.44,,SS Long Pool
505,Micheldever Store,GROUP 2 WINTER,Siskin,380.00,87.26,292.74,,SS Long Pool
505,Micheldever Store,GROUP 4 HARD,Shabras,120.00,32.16,87.84,,SS Long Pool
505,,MXD HARD,,0.00,24.56,-24.56,,
438,Micheldever Store,GROUP 1 WINTER,Skyfall,460.00,409.14,50.86,,SS Long Pool
438,Micheldever Store,OILSEED RAPE,Mxd OSR,160.00,122.50,37.50,,SS Long Pool
438,,MXD HARD,,0.00,58.86,-58.86,,
